pan,re00,im00,re01,im01,re02,im02,re03,im03,re04,im04,re05,im05,re06,im06,re07,im07,re08,im08,re09,im09,re10,im10,re11,im11,re12,im12,re13,im13,re14,im14,re15,im15,re16,im16,re17,im17,re18,im18,re19,im19,re20,im20,re21,im21,re22,im22,re23,im23,re24,im24,re25,im25,re26,im26,re27,im27,re28,im28,re29,im29,re30,im30,re31,im31
-158.8370000000001,433.57344682572483,-65.24888443076499,642.1019242488208,-9.644964869643005,42.9227937060074,562.361328844985,-4234.082594112224,-348.87661900490133,96.96102061464944,501.9057771561788,-155.59251414070854,-41.537841591554795,279.67750838649454,-1029.4761260143573,-144.9334110935982,-665.9357340595284,167.3025712211452,354.07035448618217,164.19908465271507,-1114.4965888559423,-963.9316890201391,592.0870284503422,-237.17199638498278,595.9539921018104,1864.7991644029748,-537.5559097100772,571.8181773080192,349.7664305743792,-93.84048733605374,280.3244553410144,-1705.385626692606,586.5148341699855,466.635876763428,285.31951279039777,-27.699293763936105,-105.42355024760039,6849.732932921883,0.0,-4673.012114185519,-1051.3699193276973,5351.470000841667,1423.4098713749772,-61.791495743662544,-343.2010625291942,386.0441188745498,121.89096897291199,434.9191653710859,389.492192281711,386.51928484501303,415.64889832070065,-368.62715376302816,442.89202295670907,90.40192898635064,394.55535961366866,-450.860045282849,240.44786982016456,1175.5832069093633,1199.3963762977196,226.79087037844977,390.92955467852016,310.6218238621677,96.48709607979418,45.68337400461412,273.9965405316451
-158.091,594.0004808497688,-398.69662691150626,901.5830725108037,138.0771137984845,99.63095577430518,687.2245493900174,-5435.086133258424,-436.7938368872816,-30.119090274825247,545.9045459305369,-229.47926201779381,1.5276626543935663,113.97127951709123,-1172.7326120332445,-204.0538061859631,-671.1762297128291,412.1519992834381,351.3625265319623,-202.21885973747004,-1200.7664761719689,-958.55446963226,1035.0452527335608,-284.4693591405953,752.0250114043902,1906.789725810267,-1060.6889509965629,805.5930118171477,288.51317708123497,-173.50536335479245,337.0862364016863,-1853.6304323413042,1061.982712118076,465.8551410718081,499.07255100712996,-227.4252706949736,-247.52402078443032,9166.787204457747,0.0,-6064.414759396979,-1110.3833317869212,6725.257216009952,2455.080210972716,-241.97772469772337,-218.51436317316248,385.7541716944754,201.48593393829606,608.6311335906008,476.48974660614715,468.4052955479909,383.06443146438994,-42.60024644665141,624.3721446351278,334.42269461851953,435.0452413034731,-504.5130490847293,359.57305748356134,1157.0200150839391,934.965822235498,480.9484638040153,280.19511305925425,402.25699272240433,146.13502792517744,,
-157.34599999999995,447.1486797961159,-294.33312436931897,758.7002982393849,142.55478983269006,82.6980083752462,568.848814092372,-3691.1176078088783,166.82312486694707,-53.596504753401135,491.6024375233303,4.3544881682222005,286.8704072853919,15.066132042450164,-1021.9210643699562,-192.25983133004019,-572.6787268339101,312.7253772676162,247.19185652097093,-351.4177845485399,-808.8164023570032,-713.8631429306462,801.5505422165857,-217.97926686015512,644.8319391587091,1285.8936549060165,-885.1037316895513,754.4656760878047,119.21187147247565,-133.78884679391817,349.55720268180005,-1309.0921042977131,1183.2679939257196,353.69916485595354,474.77944818392365,-244.76270510024676,-203.11752871371448,6980.1531248936035,0.0,-4271.486204278552,-484.42920522529414,4338.356265217613,2046.1208890689259,-280.53022904442753,-100.84789927349175,325.14463003462765,212.23660273261027,349.9287253178277,383.5749081757133,406.0958820423814,139.43786927277108,79.96191389963528,592.9084937461449,447.2486609335076,374.0256622934777,-415.4536731370577,373.20062668015044,777.0911867739039,789.0688497479639,492.6497648878939,95.24401743827404,435.7262489542222,13.373640336250407,,
-156.60000000000002,944.5731256914269,-660.4421493583391,1521.7863739071063,349.04402894506694,207.26109183522448,886.0100336185259,-8222.81021400779,-491.33616625397747,-108.24832676568127,831.7442267612184,231.80192686218174,426.3257819991745,-129.5424696448002,-1909.6420025306843,-371.8402540391532,-782.4667777422405,546.9137343175712,364.96377090990984,-948.403736417446,-978.6411961956896,-628.3197937904076,1882.5688613292828,-361.3496666152868,1054.919216459151,1608.175596604202,-2265.9597396125105,1154.2376389720089,-76.01215366190591,-106.39807209478397,681.0121409017233,-1589.034646511179,2309.8378892878454,451.6841604531467,911.2411796090125,-474.11757565161383,-312.01074326307696,11170.797322566572,0.0,-8337.684158120146,-741.6302351232323,8118.688638327597,3552.027639271927,-552.8396783801538,-105.22090344763201,526.5231297156967,506.31663603966547,641.1782455650258,731.5846806640723,744.6272885423862,-40.785466710280296,416.7333717516293,980.0810121224579,1092.6865859526483,578.849935188893,-520.038844071751,816.1875486890808,1001.7235687869068,938.9884643796436,768.0603973067582,-423.2218291614688,732.270333806611,-151.8105247445189,-107.86641151367022,-383.0508952055421
-155.85399999999996,438.3973549598837,-417.83673936308287,929.0484512978236,79.93908321724281,134.247765202399,518.1379598846952,-3953.960643382591,26.24641068019747,-53.54344485865403,517.2254318047701,181.17855692306767,343.77137646233314,-8.314113869547118,-953.4157891560847,-179.13608769974275,-411.6023313117538,252.81121279118247,194.2070234166085,-651.8452277380676,-376.5850977810101,-204.39354176704086,981.9232717140999,-145.5115235757068,591.4375894390561,478.41815895406967,-1346.278950740648,601.1496712572667,-124.82843435681623,-64.15523250142904,341.68678657785557,-674.8999868349661,1427.460805621874,240.9077411294758,546.7717029682201,-296.3813283659748,-227.94425034546902,6800.809651264087,0.0,-4534.907204416717,-405.7491187254881,3887.179811632352,1627.6495000896693,-327.3561880929286,-31.339057936861334,321.8731008771605,367.7041669669018,314.0216305875365,370.2654245917396,314.78201046396816,-202.80343692249082,376.9050191478788,474.15569778693146,750.0393111518438,216.7525984688884,-215.7543639033438,556.2601650372953,459.71477653577824,555.9167166460935,291.474181613906,-403.9332798311029,427.91630073851235,-218.74267814990995,-107.2734041896374,-347.930406985977
-155.10900000000004,206.19563822861866,-464.106599679927,967.0582560047188,-47.8222295884631,312.7694096200122,407.57914358996084,-3637.7646680323523,572.2264381056749,-16.85590719060906,518.0851116198801,359.5515945067805,368.1210325517686,-35.23101887566001,-872.3105275227028,-210.92813432507106,-309.8092816828306,154.78621811911688,199.82638944467735,-800.5472157624873,-227.92584334961066,44.273548413089685,931.8387521424199,25.599964858630724,574.525004545248,64.92797661218515,-1409.216228798833,499.7404255818816,-184.2341714929751,-47.36518876560372,276.6361550260864,-276.78295577027785,1606.1807063037088,198.13621695387232,491.378466947106,-373.8542256205142,-231.84389780713593,6359.49787337319,-310.8441240248904,-4999.498076860578,190.42303698726212,4381.048718117411,449.3934401704849,-356.8967771602758,14.004545755633565,456.62212302349826,421.79034923446414,247.71676068881052,299.2776921957589,160.335275878323,-270.29006269259634,501.91152798800874,367.9556952759813,893.1023132717482,51.20788455216133,-60.90172745990778,605.3865052080198,346.8551932671627,508.5992525707237,215.98807275969995,-543.2334349582093,247.32062176410133,-468.2722181512037,-153.87206434760625,-407.6695106511487
-154.363,193.89468998184688,-520.1625580522654,1423.4007526003334,-213.00444362666158,315.6430468995051,687.9067281208576,-3280.301507348026,1124.9560928544477,-83.75970308929548,818.2677025359898,610.1432263458526,647.1102399040758,109.11790428425233,-1111.9936288563565,-198.10197799966159,-524.857565437179,32.9661736382352,485.03714733058223,-1172.630603136848,-502.9084953698814,-503.2625270828536,1032.5438743859206,83.28570094616681,788.2849528021269,348.86608503280803,-1697.3099707334338,705.9622632675834,-377.5159723499342,-339.96350030390556,320.244757886937,-691.7812770467557,2232.0547083166834,275.0031266989367,717.6089358848949,-569.7695178337168,-444.86787199870093,6927.452719297672,0.0,-4740.650880525702,166.4984350008267,3587.6640138334906,1211.835807186025,-512.4700931905923,76.89502846988371,580.3772006137679,818.6699377633855,103.44513331721897,561.4937971408938,40.267560838704746,-522.0808837568529,1004.578869882931,883.3810304152054,1405.5344691491125,-88.20122755901006,-71.93797906280163,872.0531148443382,452.44411605046,885.0610274650138,383.2460560557721,-841.7533697325446,628.1517203288296,-988.6048161498209,-287.12099696225505,-796.4383580827824
-154.36299999999997,447.7388103836454,-882.2965434593998,1079.9761248774876,-250.95578074798303,606.4911162659646,497.65628897094757,-6486.932111186216,41.26947738065094,-354.24034728816514,725.3543736202514,500.16414521085244,488.1449500761587,-167.72290405526985,-500.98184409562754,,,,,-1252.64964240925,260.28591572946823,978.3934091915828,1518.8281317706676,-4.338749457114813,515.3071579918601,-963.3875576638451,-2020.2418300410116,333.59008513358816,-394.4353857681531,-235.08576064900763,222.3219429631189,3.0552434857861774,1902.0625767447232,275.641713306739,780.2493831578886,-538.2364266939188,-429.02539082683245,9538.874700078635,-82.41703090787672,-7260.473910746852,-86.20614068394639,9846.701959728922,0.0,-455.8092585186279,69.03835392412105,783.2757409419035,1011.5588582781528,422.8157390371783,519.0560198013497,215.23565746203428,-297.11124109720254,1001.3197430027612,-29.41330552063745,1347.9245332014723,-518.6486617681636,218.76139953812898,831.8056724774107,131.7585106322973,413.13351362282685,-234.9529939058012,-1045.2823258055134,-170.25787475309733,-646.0324486238376,-310.61762635508745,-363.9367060123387
-153.6170000000001,196.01543777980572,-804.2310047574374,1399.9290694441247,-163.37731107214418,567.5347797657471,652.0939633056728,-5732.696212064928,1417.841947996023,-416.84009637977636,983.3912932496019,740.2846040644278,688.7009144185186,-29.83004128384284,-615.8138582561284,-146.25234797901362,-544.1313567510825,-95.89193236637975,435.0670695732582,-1423.7994515730015,337.0857841754556,466.24855847795163,1256.280445418587,173.1409959912757,631.0924064002377,-1231.6687141229554,-2123.8854985989233,356.522094966141,-582.3161024413992,-450.58294653451674,262.1739859449389,135.8670457846707,2016.5273948558552,382.2283950671006,856.6433251664051,-657.4689206918282,-468.55573772117714,8398.909218929672,-50.94894079304045,-5939.918418395595,599.2052439183847,7644.623043997932,205.53680590018956,-498.54201041312047,126.99436795732903,970.4689121937333,1139.476201010201,226.8183050585184,634.0187035514448,-62.19103421754012,-504.03540916663167,1519.071346684385,231.2828631748252,1544.2608481204015,-807.484672751424,172.38227785454865,891.2381369091332,131.5335879762116,672.1137245449291,60.530703577768804,-1218.5876126590017,93.74788046221349,-1142.5200282381695,-530.3194443236702,-669.3527914169247
-152.87100000000007,-126.84169997281727,-653.5841512798464,1396.0173500029932,-141.90004925291495,481.8907251504901,505.0060920881714,-5261.566839723508,1926.3577633293921,-431.1536327042926,817.0600010888517,851.6124458943201,629.4053936060559,-42.628465433417134,-370.4080578989824,28.10561468780442,-92.26207413503434,-206.13670075951387,44.12779264677147,-1044.605349427796,762.8524992377427,632.7442974224167,698.530852772245,230.84247336632365,462.647888677728,-1376.0856465286065,-1576.1102032605868,-9.336493620644362,-668.9096552115429,-339.31714374528553,275.0520084873448,389.67868998306585,1366.0836916950254,420.64060050958426,812.4592084015555,-606.3972480121777,-408.0222146259279,7667.4781993052275,-279.858347855142,-4862.965594084966,722.9759188211102,7268.982300174889,82.27354556178236,-384.7301779466602,180.04144020365047,909.4522189136683,1025.4478487031383,223.1288178897699,624.0778418063701,-219.13114443174277,-388.04898722671686,1569.128273114028,-131.54168606274783,1290.8698084587318,-1040.1647054715622,311.863033215622,619.1402459579704,-4.084146627430844,622.8338182839773,-123.24802755320587,-1150.8270697057358,-247.98580464398788,-1096.8848823831754,-583.684896562487,-556.7893013243644
